,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,month,year
46,spring,no,Wed,no,clear sky,0.318261,0.3162,0.423478,0.251791,218,1897,2115,16,2,2011
47,spring,no,Thu,no,clear sky,0.435833,0.428658,0.505,0.230104,259,2216,2475,17,2,2011
48,spring,no,Fri,no,clear sky,0.521667,0.511983,0.516667,0.264925,579,2348,2927,18,2,2011
49,spring,no,Sat,no,clear sky,0.399167,0.391404,0.187917,0.507463,532,1103,1635,19,2,2011
50,spring,no,Sun,no,clear sky,0.285217,0.27733,0.407826,0.223235,639,1173,1812,20,2,2011
51,spring,yes,Mon,no,cloudy,0.303333,0.284075,0.605,0.307846,195,912,1107,21,2,2011
52,spring,no,Tue,no,clear sky,0.182222,0.186033,0.577778,0.195683,74,1376,1450,22,2,2011
53,spring,no,Wed,no,clear sky,0.221739,0.245717,0.423043,0.094113,139,1778,1917,23,2,2011
54,spring,no,Thu,no,cloudy,0.295652,0.289191,0.697391,0.250496,100,1707,1807,24,2,2011
55,spring,no,Fri,no,cloudy,0.364348,0.350461,0.712174,0.346539,120,1341,1461,25,2,2011
56,spring,no,Sat,no,clear sky,0.2825,0.282192,0.537917,0.186571,424,1545,1969,26,2,2011
57,spring,no,Sun,no,clear sky,0.343478,0.351109,0.68,0.125248,694,1708,2402,27,2,2011
58,spring,no,Mon,no,cloudy,0.407273,0.400118,0.876364,0.289686,81,1365,1446,28,2,2011
59,spring,no,Tue,no,clear sky,0.266667,0.263879,,0.216425,137,1714,1851,1,3,2011
60,spring,no,Wed,no,clear sky,0.335,0.320071,0.449583,0.307833,231,1903,2134,2,3,2011
61,spring,no,Thu,no,clear sky,0.198333,0.200133,0.318333,0.225754,123,1562,1685,3,3,2011
62,spring,no,Fri,no,cloudy,0.261667,0.255679,0.610417,0.203346,214,1730,1944,4,3,2011
63,spring,no,Sat,no,cloudy,0.384167,0.378779,0.789167,0.251871,640,1437,2077,5,3,2011
64,spring,no,Sun,no,cloudy,0.376522,0.366252,0.948261,0.343287,114,491,605,6,3,2011
65,spring,no,Mon,no,clear sky,0.261739,0.238461,0.551304,0.341352,244,1628,1872,7,3,2011
66,spring,no,Tue,no,clear sky,0.2925,0.3024,,0.12065,316,1817,2133,8,3,2011
67,spring,no,Wed,no,cloudy,0.295833,0.286608,0.775417,0.22015,191,1700,1891,9,3,2011
68,spring,no,Thu,no,light rain,0.389091,0.385668,0.0,0.261877,46,577,623,10,3,2011
69,spring,no,Fri,no,cloudy,0.316522,0.305,0.649565,0.23297,247,1730,1977,11,3,2011
70,spring,no,Sat,no,clear sky,0.329167,0.32575,0.594583,0.220775,724,1408,2132,12,3,2011
71,spring,no,Sun,no,clear sky,0.384348,0.380091,0.527391,0.270604,982,1435,2417,13,3,2011
72,spring,no,Mon,no,clear sky,0.325217,0.332,0.496957,0.136926,359,1687,2046,14,3,2011
73,spring,no,Tue,no,cloudy,0.317391,0.318178,0.655652,0.184309,289,1767,2056,15,3,2011
74,spring,no,Wed,no,cloudy,0.365217,0.36693,,0.203117,321,1871,2192,16,3,2011
75,spring,no,Thu,no,clear sky,0.415,0.410333,0.602917,0.209579,424,2320,2744,17,3,2011
76,spring,no,Fri,no,clear sky,0.54,0.527009,0.525217,0.231017,884,2355,3239,18,3,2011
77,spring,no,Sat,no,clear sky,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,19,3,2011
78,spring,no,Sun,no,clear sky,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,20,3,2011
79,summer,no,Mon,no,cloudy,0.430435,0.409735,0.737391,0.288783,401,1676,2077,21,3,2011
80,summer,no,Tue,no,clear sky,0.441667,0.440642,0.624583,0.22575,460,2243,2703,22,3,2011
81,summer,no,Wed,no,cloudy,0.346957,0.337939,0.839565,0.234261,203,1918,2121,23,3,2011
82,summer,no,Thu,no,cloudy,0.285,0.270833,0.805833,0.243787,166,1699,1865,24,3,2011
83,summer,no,Fri,no,clear sky,0.264167,0.256312,0.495,0.230725,300,1910,2210,25,3,2011
84,summer,no,Sat,no,clear sky,0.265833,0.257571,0.394167,0.209571,981,1515,2496,26,3,2011
85,summer,no,Sun,no,cloudy,0.253043,0.250339,0.493913,0.1843,472,1221,1693,27,3,2011
86,summer,no,Mon,no,clear sky,0.264348,0.257574,0.302174,0.212204,222,1806,2028,28,3,2011
87,summer,no,Tue,no,clear sky,0.3025,0.292908,0.314167,0.226996,317,2108,2425,29,3,2011
88,summer,no,Wed,no,cloudy,0.3,0.29735,0.646667,0.172888,168,1368,1536,30,3,2011
89,summer,no,Thu,no,light rain,0.268333,0.257575,0.918333,0.217646,179,1506,1685,31,3,2011
90,summer,no,Fri,no,cloudy,0.3,0.283454,0.68625,0.258708,307,1920,2227,1,4,2011
91,summer,no,Sat,no,cloudy,0.315,0.315637,0.65375,0.197146,898,1354,2252,2,4,2011
92,summer,no,Sun,no,clear sky,0.378333,0.378767,0.48,0.182213,1651,1598,3249,3,4,2011
93,summer,no,Mon,no,clear sky,0.573333,0.542929,0.42625,0.385571,734,2381,3115,4,4,2011
94,summer,no,Tue,no,cloudy,0.414167,0.39835,0.642083,0.388067,167,1628,1795,5,4,2011
95,summer,no,Wed,no,clear sky,0.390833,0.387608,0.470833,0.263063,413,2395,2808,6,4,2011
96,summer,no,Thu,no,clear sky,0.4375,0.433696,0.602917,0.162312,571,2570,3141,7,4,2011
97,summer,no,Fri,no,cloudy,0.335833,0.324479,,0.226992,172,1299,1471,8,4,2011
98,summer,no,Sat,no,cloudy,0.3425,0.341529,0.8775,0.133083,879,1576,2455,9,4,2011
99,summer,no,Sun,no,cloudy,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,10,4,2011
100,summer,no,Mon,no,cloudy,0.595652,0.565217,0.716956,0.324474,855,2493,3348,11,4,2011
101,summer,no,Tue,no,cloudy,0.5025,0.493054,0.739167,0.274879,257,1777,2034,12,4,2011
102,summer,no,Wed,no,cloudy,0.4125,0.417283,0.819167,0.250617,209,1953,2162,13,4,2011
103,summer,no,Thu,no,clear sky,0.4675,0.462742,0.540417,0.1107,529,2738,3267,14,4,2011
104,summer,yes,Fri,no,clear sky,0.446667,0.441913,0.67125,0.226375,642,2484,3126,15,4,2011
105,summer,no,Sat,no,light rain,0.430833,0.425492,0.888333,0.340808,121,674,795,16,4,2011
106,summer,no,Sun,no,clear sky,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,17,4,2011
107,summer,no,Mon,no,clear sky,0.5125,0.503146,0.5425,0.163567,669,2760,3429,18,4,2011
108,summer,no,Tue,no,cloudy,0.505833,0.489258,0.665833,0.157971,409,2795,3204,19,4,2011
109,summer,no,Wed,no,clear sky,0.595,0.564392,0.614167,0.241925,613,3331,3944,20,4,2011
110,summer,no,Thu,no,clear sky,0.459167,0.453892,0.407083,0.325258,745,3444,4189,21,4,2011
111,summer,no,Fri,no,cloudy,0.336667,0.321954,0.729583,0.219521,177,1506,1683,22,4,2011
112,summer,no,Sat,no,cloudy,0.46,0.450121,0.887917,0.230725,1462,2574,4036,23,4,2011
113,summer,no,Sun,no,cloudy,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,24,4,2011
114,summer,no,Mon,no,clear sky,0.606667,0.5745,0.776667,0.185333,773,3300,4073,25,4,2011
115,summer,no,Tue,no,clear sky,0.631667,0.594083,0.729167,0.3265,678,3722,4400,26,4,2011
116,summer,no,Wed,no,cloudy,0.62,0.575142,0.835417,0.3122,547,3325,3872,27,4,2011
117,summer,no,Thu,no,cloudy,0.6175,0.578929,0.700833,0.320908,569,3489,4058,28,4,2011
118,summer,no,Fri,no,clear sky,0.51,0.497463,0.457083,0.240063,878,3717,4595,29,4,2011
119,summer,no,Sat,no,clear sky,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,30,4,2011
120,summer,no,Sun,no,cloudy,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,1,5,2011
121,summer,no,Mon,no,cloudy,0.549167,0.532833,0.73,0.183454,847,3554,4401,2,5,2011
122,summer,no,Tue,no,cloudy,0.616667,0.582079,0.697083,0.342667,603,3848,4451,3,5,2011
123,summer,no,Wed,no,cloudy,0.414167,0.40465,0.737083,0.328996,255,2378,2633,4,5,2011
124,summer,no,Thu,no,clear sky,0.459167,0.441917,0.444167,0.295392,614,3819,4433,5,5,2011
125,summer,no,Fri,no,clear sky,0.479167,0.474117,0.59,0.228246,894,3714,4608,6,5,2011
126,summer,no,Sat,no,clear sky,0.52,0.512621,0.54125,0.16045,1612,3102,4714,7,5,2011
127,summer,no,Sun,no,clear sky,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,8,5,2011
128,summer,no,Mon,no,clear sky,0.5325,0.525246,0.58875,0.176,664,3698,4362,9,5,2011
129,summer,no,Tue,no,clear sky,0.5325,0.522721,0.489167,0.115671,694,4109,4803,10,5,2011
130,summer,no,Wed,no,clear sky,0.5425,0.5284,0.632917,0.120642,550,3632,4182,11,5,2011
131,summer,no,Thu,no,clear sky,0.535,0.523363,0.7475,0.189667,695,4169,4864,12,5,2011
132,summer,no,Fri,no,cloudy,0.5125,0.4943,0.863333,0.179725,692,3413,4105,13,5,2011
133,summer,no,Sat,no,cloudy,0.520833,0.500629,0.9225,0.13495,902,2507,3409,14,5,2011
134,summer,no,Sun,no,cloudy,0.5625,0.536,0.867083,0.152979,1582,2971,4553,15,5,2011
135,summer,no,Mon,no,clear sky,0.5775,0.550512,0.787917,0.126871,773,3185,3958,16,5,2011
136,summer,no,Tue,no,cloudy,0.561667,0.538529,0.837917,0.277354,678,3445,4123,17,5,2011
137,summer,no,Wed,no,cloudy,0.55,0.527158,0.87,0.201492,536,3319,3855,18,5,2011
138,summer,no,Thu,no,cloudy,0.530833,0.510742,,0.108213,735,3840,4575,19,5,2011
139,summer,no,Fri,no,clear sky,0.536667,0.529042,0.719583,0.125013,909,4008,4917,20,5,2011
140,summer,no,Sat,no,clear sky,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,21,5,2011
141,summer,no,Sun,no,clear sky,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,22,5,2011
142,summer,no,Mon,no,cloudy,0.631667,0.590296,0.81,0.233842,836,3438,4274,23,5,2011
143,summer,no,Tue,no,cloudy,0.66,0.604813,0.740833,0.207092,659,3833,4492,24,5,2011
144,summer,no,Wed,no,clear sky,0.660833,0.615542,0.69625,0.154233,740,4238,4978,25,5,2011
145,summer,no,Thu,no,clear sky,0.708333,0.654688,0.6775,0.199642,758,3919,4677,26,5,2011
146,summer,no,Fri,no,clear sky,0.681667,0.637008,0.65375,0.240679,871,3808,4679,27,5,2011
147,summer,no,Sat,no,clear sky,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,28,5,2011
148,summer,no,Sun,no,clear sky,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,29,5,2011
149,summer,yes,Mon,no,clear sky,0.733333,0.671092,0.685,0.131225,1549,2549,4098,30,5,2011
150,summer,no,Tue,no,clear sky,0.775,0.725383,0.636667,0.111329,673,3309,3982,31,5,2011
151,summer,no,Wed,no,cloudy,0.764167,0.720967,0.677083,0.207092,513,3461,3974,1,6,2011
152,summer,no,Thu,no,clear sky,0.715,0.643942,0.305,0.292287,736,4232,4968,2,6,2011
153,summer,no,Fri,no,clear sky,0.62,0.587133,0.354167,0.253121,898,4414,5312,3,6,2011
154,summer,no,Sat,no,clear sky,0.635,0.594696,0.45625,0.123142,1869,3473,5342,4,6,2011
155,summer,no,Sun,no,cloudy,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,5,6,2011
156,summer,no,Mon,no,clear sky,0.678333,0.621858,,0.121896,673,3875,4548,6,6,2011
157,summer,no,Tue,no,clear sky,0.7075,0.65595,0.597917,0.187808,763,4070,4833,7,6,2011
158,summer,no,Wed,no,clear sky,0.775833,0.727279,0.622083,0.136817,676,3725,4401,8,6,2011
159,summer,no,Thu,no,cloudy,0.808333,0.757579,0.568333,0.149883,563,3352,3915,9,6,2011
160,summer,no,Fri,no,clear sky,0.755,0.703292,0.605,0.140554,815,3771,4586,10,6,2011
161,summer,no,Sat,no,clear sky,0.725,0.678038,0.654583,0.15485,1729,3237,4966,11,6,2011
162,summer,no,Sun,no,clear sky,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,12,6,2011
163,summer,no,Mon,no,clear sky,0.635,0.601654,0.494583,0.30535,863,4157,5020,13,6,2011
164,summer,no,Tue,no,clear sky,0.604167,0.591546,,0.269283,727,4164,4891,14,6,2011
165,summer,no,Wed,no,clear sky,0.626667,0.587754,0.471667,0.167912,769,4411,5180,15,6,2011
166,summer,no,Thu,no,cloudy,0.628333,0.595346,0.688333,0.206471,545,3222,3767,16,6,2011
167,summer,no,Fri,no,clear sky,0.649167,0.600383,0.735833,0.143029,863,3981,4844,17,6,2011
168,summer,no,Sat,no,clear sky,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,18,6,2011
169,summer,no,Sun,no,cloudy,0.699167,0.645846,0.666667,0.102,1639,3105,4744,19,6,2011
170,summer,no,Mon,no,cloudy,0.635,0.595346,0.74625,0.155475,699,3311,4010,20,6,2011
171,fall,no,Tue,no,cloudy,0.680833,0.637646,0.770417,0.171025,774,4061,4835,21,6,2011
172,fall,no,Wed,no,clear sky,0.733333,0.693829,0.7075,0.172262,661,3846,4507,22,6,2011
173,fall,no,Thu,no,cloudy,0.728333,0.693833,0.703333,0.238804,746,4044,4790,23,6,2011
174,fall,no,Fri,no,clear sky,0.724167,0.656583,0.573333,0.222025,969,4022,4991,24,6,2011
175,fall,no,Sat,no,clear sky,0.695,0.643313,0.483333,0.209571,1782,3420,5202,25,6,2011
176,fall,no,Sun,no,clear sky,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,26,6,2011
177,fall,no,Mon,no,cloudy,0.6825,0.637004,0.658333,0.107588,854,3854,4708,27,6,2011
178,fall,no,Tue,no,clear sky,0.744167,0.692558,0.634167,0.144283,732,3916,4648,28,6,2011
179,fall,no,Wed,no,clear sky,0.728333,0.654688,0.497917,0.261821,848,4377,5225,29,6,2011
180,fall,no,Thu,no,clear sky,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,30,6,2011
181,fall,no,Fri,no,clear sky,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,1,7,2011
182,fall,no,Sat,no,clear sky,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,2,7,2011
183,fall,no,Sun,no,cloudy,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,3,7,2011
184,fall,yes,Mon,no,cloudy,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,4,7,2011
185,fall,no,Tue,no,clear sky,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,5,7,2011
186,fall,no,Wed,no,clear sky,0.72,0.685633,0.743333,0.149883,784,3845,4629,6,7,2011
187,fall,no,Thu,no,clear sky,0.75,0.686871,0.65125,0.1592,754,3838,4592,7,7,2011
188,fall,no,Fri,no,cloudy,0.709167,0.670483,,0.225129,692,3348,4040,8,7,2011
189,fall,no,Sat,no,clear sky,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,9,7,2011
190,fall,no,Sun,no,clear sky,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,10,7,2011
191,fall,no,Mon,no,clear sky,0.7625,0.729804,0.635833,0.282337,723,3363,4086,11,7,2011
192,fall,no,Tue,no,clear sky,0.794167,0.739275,0.559167,0.200254,662,3596,4258,12,7,2011
193,fall,no,Wed,no,clear sky,0.746667,0.689404,0.631667,0.146133,748,3594,4342,13,7,2011
194,fall,no,Thu,no,clear sky,0.680833,0.635104,0.47625,0.240667,888,4196,5084,14,7,2011
195,fall,no,Fri,no,clear sky,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,15,7,2011
196,fall,no,Sat,no,clear sky,0.686667,0.638263,0.585,0.208342,2418,3505,5923,16,7,2011
197,fall,no,Sun,no,clear sky,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,17,7,2011
198,fall,no,Mon,no,clear sky,0.746667,0.703925,0.65125,0.215804,841,3617,4458,18,7,2011
199,fall,no,Tue,no,clear sky,0.776667,0.747479,0.650417,0.1306,752,3789,4541,19,7,2011
200,fall,no,Wed,no,clear sky,0.768333,0.74685,0.707083,0.113817,644,3688,4332,20,7,2011
201,fall,no,Thu,no,cloudy,0.815,0.826371,0.69125,0.222021,632,3152,3784,21,7,2011
202,fall,no,Fri,no,clear sky,0.848333,0.840896,0.580417,0.1331,562,2825,3387,22,7,2011
203,fall,no,Sat,no,clear sky,0.849167,0.804287,0.5,0.131221,987,2298,3285,23,7,2011
204,fall,no,Sun,no,clear sky,0.83,0.794829,0.550833,0.169171,1050,2556,3606,24,7,2011
205,fall,no,Mon,no,clear sky,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,25,7,2011
206,fall,no,Tue,no,clear sky,0.771667,0.696979,0.540833,0.200258,750,3840,4590,26,7,2011
207,fall,no,Wed,no,clear sky,0.775,0.690667,0.402917,0.183463,755,3901,4656,27,7,2011
208,fall,no,Thu,no,clear sky,0.779167,0.7399,0.583333,0.178479,606,3784,4390,28,7,2011
209,fall,no,Fri,no,clear sky,0.838333,0.785967,0.5425,0.174138,670,3176,3846,29,7,2011
210,fall,no,Sat,no,clear sky,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,30,7,2011
211,fall,no,Sun,no,clear sky,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,31,7,2011
212,fall,no,Mon,no,clear sky,0.771667,0.703292,0.550833,0.156717,729,3537,4266,1,8,2011
213,fall,no,Tue,no,clear sky,0.783333,0.707071,0.49125,0.20585,801,4044,4845,2,8,2011
214,fall,no,Wed,no,cloudy,0.731667,0.679937,0.6575,0.135583,467,3107,3574,3,8,2011
215,fall,no,Thu,no,cloudy,0.71,0.664788,0.7575,0.19715,799,3777,4576,4,8,2011
216,fall,no,Fri,no,clear sky,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,5,8,2011
217,fall,no,Sat,no,cloudy,0.716667,0.676154,0.755,0.22825,1521,2773,4294,6,8,2011
218,fall,no,Sun,no,clear sky,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,7,8,2011
219,fall,no,Mon,no,clear sky,0.765,0.703283,0.592083,0.192175,846,3480,4326,8,8,2011
220,fall,no,Tue,no,clear sky,0.775,0.724121,,0.151121,907,3695,4602,9,8,2011
221,fall,no,Wed,no,clear sky,0.766667,0.684983,0.424167,0.200258,884,3896,4780,10,8,2011
222,fall,no,Thu,no,clear sky,0.7175,0.651521,0.42375,0.164796,812,3980,4792,11,8,2011
223,fall,no,Fri,no,clear sky,0.708333,0.654042,0.415,0.125621,1051,3854,4905,12,8,2011
224,fall,no,Sat,no,cloudy,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,13,8,2011
225,fall,no,Sun,no,cloudy,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,14,8,2011
226,fall,no,Mon,no,clear sky,0.665833,0.616167,0.712083,0.208954,775,3563,4338,15,8,2011
227,fall,no,Tue,no,clear sky,0.700833,0.645837,0.578333,0.236329,721,4004,4725,16,8,2011
228,fall,no,Wed,no,clear sky,0.723333,0.666671,0.575417,0.143667,668,4026,4694,17,8,2011
229,fall,no,Thu,no,clear sky,0.711667,0.662258,0.654583,0.233208,639,3166,3805,18,8,2011
230,fall,no,Fri,no,cloudy,0.685,0.633221,0.722917,0.139308,797,3356,4153,19,8,2011
231,fall,no,Sat,no,clear sky,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,20,8,2011
232,fall,no,Sun,no,clear sky,0.710833,0.675525,0.77,0.248754,1249,2624,3873,21,8,2011
233,fall,no,Mon,no,clear sky,0.691667,0.638254,0.47,0.27675,833,3925,4758,22,8,2011
234,fall,no,Tue,no,clear sky,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,23,8,2011
235,fall,no,Wed,no,clear sky,0.673333,0.630692,0.605,0.253108,949,4181,5130,24,8,2011
236,fall,no,Thu,no,cloudy,0.684167,0.645854,0.771667,0.210833,435,3107,3542,25,8,2011
237,fall,no,Fri,no,clear sky,0.7,0.659733,0.76125,0.0839625,768,3893,4661,26,8,2011
238,fall,no,Sat,no,cloudy,0.68,0.635556,0.85,0.375617,226,889,1115,27,8,2011
239,fall,no,Sun,no,clear sky,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,28,8,2011
240,fall,no,Mon,no,clear sky,0.636667,0.607958,0.554583,0.159825,729,3905,4634,29,8,2011
241,fall,no,Tue,no,clear sky,0.639167,0.594704,,0.125008,775,4429,5204,30,8,2011
242,fall,no,Wed,no,clear sky,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,31,8,2011
243,fall,no,Thu,no,clear sky,0.655,0.614921,0.639167,0.141796,783,4332,5115,1,9,2011
244,fall,no,Fri,no,cloudy,0.643333,0.604808,0.727083,0.139929,875,3852,4727,2,9,2011
245,fall,no,Sat,no,clear sky,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,3,9,2011
246,fall,no,Sun,no,clear sky,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,4,9,2011
247,fall,yes,Mon,no,cloudy,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,5,9,2011
248,fall,no,Tue,no,light rain,0.54,0.5152,0.886957,0.343943,204,2506,2710,6,9,2011
249,fall,no,Wed,no,light rain,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,7,9,2011
250,fall,no,Thu,no,light rain,0.633913,0.555361,0.939565,0.192748,153,1689,1842,8,9,2011
251,fall,no,Fri,no,cloudy,0.65,0.578946,0.897917,0.124379,417,3127,3544,9,9,2011
252,fall,no,Sat,no,clear sky,0.66,0.607962,0.75375,0.153608,1750,3595,5345,10,9,2011
253,fall,no,Sun,no,clear sky,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,11,9,2011
254,fall,no,Mon,no,clear sky,0.644348,0.60213,0.692174,0.088913,690,4023,4713,12,9,2011
255,fall,no,Tue,no,clear sky,0.650833,0.603554,0.7125,0.141804,701,4062,4763,13,9,2011
256,fall,no,Wed,no,clear sky,0.673333,0.6269,0.697083,0.1673,647,4138,4785,14,9,2011
257,fall,no,Thu,no,cloudy,0.5775,0.553671,0.709167,0.271146,428,3231,3659,15,9,2011
258,fall,no,Fri,no,cloudy,0.469167,0.461475,0.590417,0.164183,742,4018,4760,16,9,2011
259,fall,no,Sat,no,cloudy,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,17,9,2011
260,fall,no,Sun,no,clear sky,0.5075,0.490537,0.695,0.178483,1353,2921,4274,18,9,2011
261,fall,no,Mon,no,cloudy,0.549167,0.529675,0.69,0.151742,691,3848,4539,19,9,2011
262,fall,no,Tue,no,cloudy,0.561667,0.532217,0.88125,0.134954,438,3203,3641,20,9,2011
